source_e164,target_e164,our_context,platform_context,window,date,manual_label
+12128035100,+19293440253,callback,mentioned," sounded odd because he had a broken nose and stitches in mouth - from traffic accident.  Asked me to call his attorney 929-344-0253 where the saga continued.  Wanted 15K wire transferred, etc.",2021-09-07,
+12134656649,+17145756626,callback,mentioned,susan Please please report to the fcc. They call from a fake number. This714-575-6626 please report their real number. 213-465-6649 fcc will take them down!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2019-08-20,
+12144294509,+12094470292,callback,mentioned,"e left another number to call back and again, not verifiable. After googling the Number showing (supposably called from (209) 447-0292 had no results. Other comments mention the number 417-507-1761 ma",2026-02-17,
+12157501802,+14124680593,callback,mentioned,"Called from PA number Got a call vm was left saying This is Michael Masters. Please call me back at 412-468-0593. No other info was left. When I called back, it said the number is not accepting calls ",2025-03-26,
+12163502605,+12133502605,callback,mentioned,"ps phone we get lots of calls from 213-350-2605 - never leaves a message and if you answer it, they hang up.  When I call the number back, it says it is Duke Energy of",2017-08-28,
+12164558720,+12148387574,callback,mentioned,"Terry ""Hello, this notice is to inform [my name] of an outstanding balance, please contact us at 214-838-7574 to bring account current.   Got hung up when asked for information to be mailed to me.  Al",2025-10-09,
+12164970773,+18555350095,callback,mentioned,"ven called them to inquire about a loan. The message is always the same: contact them at 833-704-3824, 855-535-0198, or 855-535-0095.",2025-05-19,
+12164970773,+18555350198,callback,mentioned,"ever applied or even called them to inquire about a loan. The message is always the same: contact them at 833-704-3824, 855-535-0198, or 855-535-0095.",2025-05-19,
+12164970773,+18337043824,callback,mentioned," approved. I never applied or even called them to inquire about a loan. The message is always the same: contact them at 833-704-3824, 855-535-0198, or 855-535-0095.",2025-05-19,
+12164974023,+18337041205,callback,mentioned,"mated message the began before voicemail started recording, ""View your offer and select your terms, press 2 now or call 833-704-1205. To decline this offer and stop further calls, just call back and p",2025-07-03,
+12202228973,+16059713850,callback,mentioned,"VILLE Flagged as a robo-call by the phone system.  Sent to the Sales voicemail, immediately called back from: ABERDEEN, 605-971-3850 and then again from 1-22-053-7390",2025-11-13,
+12232088892,+18773121774,callback,mentioned,"Hunter Sent a text unwanted message: ""Complaint receive Reference ID:  notice directed to 877-312-1774 do not call them back and if you do the bug them back don't give any info about yourself! In any ",2025-06-17,
+12232106142,+17759029434,callback,mentioned,"the same thing so I don't have to use my personal number for my business. The real number that belongs to that phone is 775-902-9434 out of the Vegas area, most likely their personal phone.",2025-10-10,
+12243923785,+16302783177,callback,mentioned,"DFG called my cell within a minute, then tried to dial my work number   came up as a 630-278-3177 but when called back said 224-392-3785  can only mean it is a scammer",2025-06-26,
+12244720738,+12138986278,callback,mentioned,file 2024 as well or have problems with filing we can handle that today I'm looking forward to hearing back from you at 213-898-6278 as always if you wish to opt out or have handled your file already ,2025-08-13,
+12254207082,+18334450067,callback,mentioned,"maiden name. Same thing, said it was in reference to a pending case, gave a case # and asked me to call their office at 833-445-0067. Never said the name of the legal office or what it was in regards ",2025-07-28,
+12254207082,+18332030877,callback,mentioned,"stions, concerns or you're not sure why you are receiving this message. Please reach out to me directly in my office at 833-203-0877 and ask for Ava. Reply Stop to opt out. I called back and an Hispan",2025-08-27,
+12267985912,+18002709938,callback,mentioned,"ren McPhee press 2. Please be advised our address is 200 Ronson Drive suite B2 Toronto, ON M9W5Z9.  Our phone number is 1-800-270-9938.  Our email address is info@veritasalliance.ca.  Please contact u",2025-10-06,
+12294141948,+18667056003,callback,mentioned,ther websites show this number to be associated with a loan servicing scam wanting you to call them at 888-324-9086 and 866-705-6003.  Both numbers have a history here at 800Notes.,2025-05-13,
+12294141948,+18883249086,callback,mentioned,take your call. Other websites show this number to be associated with a loan servicing scam wanting you to call them at 888-324-9086 and 866-705-6003.  Both numbers have a history here at 800Notes.,2025-05-13,
+12312209672,+17205432795,callback,mentioned,ELLE 720-543-2795 denver is the number they called from but the call back number is the 2312209672 number listed in this thread,2025-03-12,
+12314475707,+15027873462,callback,mentioned,"stions or to call back at your convenience, reach us at 866-705-6003. Again that's 866-705-6003."" (First call came from 502-787-3462 on March 3, 2025 at 6:02 pm. Second call came from 231-447-5707 on ",2025-03-05,
+12394979201,+12148387574,callback,mentioned,"Todd Text message: Hello, this notice is to inform ( my name) of an outstanding balance, please contact us at 214-838-7574 to bring account current, Do Not Reply.",2025-07-11,
+12404486764,+12029201528,callback,mentioned,Fedup Caller ID has this number.  Voice mail said to call 202 920 1528.= about a tax defficiency.,2025-07-14,
+12406338996,+18668781552,callback,mentioned,"imilar messages from various phone numbers the message left by this one was, ""To verify some details, please call us at 866-878-1552 or press 2 to speak with an underwriter now. To decline future cont",2026-01-11,
+12487479590,+18332133697,callback,mentioned,"JOman A call from UN-known - solar power scam - wants you to call them back at 833-213-3697 - A search shows this number to be from Plymouth, MI. A land line number using METROPCS, INC. They keep call",2023-04-03,
+12489065609,+13474299943,callback,mentioned,TheCallGuy ↪️ I received a junk fax from 347-429-9943 for Delco Roofing that listed this number as the callback number. The web site delcoroofing dot net was registered in 2,2021-06-06,
+12489065609,+17044695471,callback,mentioned,Tech Guy Junk Fax - This number is listed as a callback number for Delco Roofing. Original fax received from 704 469 5471.,2025-01-16,
+12512406660,+12062406660,callback,mentioned,to be present for questions or to place a stop action press one to connect one operator or contact your filing party at 206-240-6660. ! 0 xyz 23 Jun 2025 harassment,2025-05-28,
+12512406660,+15042300342,callback,mentioned,r to place a stop action press 1 to connect to an operator or contact filing party at 251-240-6660. They called me from 504-230-0342.,2025-05-09,
+12526454958,+12548859704,callback,mentioned,"rize this payment, press 1 to speak to our Customer Support Rep."" 3 hrs later we received the exact same voicemail from (254) 885-9704.",2026-02-10,
+12548859704,+12526454958,callback,mentioned,"ze this payment, press 1 to speak to our Customer Support Rep."" 3 hrs earlier we received the exact same voicemail from (252) 645-4958.",2026-02-10,
+12622617739,+18662122236,callback,mentioned,at I had 2 days or it would go for litigation. Tried to call the number back and no answer  called the number they left 866 212 2236. They stated I took a loan out with cashnetusa and I had to repay n,2019-08-30,
+12679542897,+18442033796,callback,mentioned,"DHa I received many calls from this number.　Then after that,  I called back to there request this number 1-844-203-3796. block the phone call??? they said...I don't understanding. My Ins-Provider Anth",2022-02-10,
+12695447929,+12695445578,callback,mentioned,PNC Customer Received a call from 269-544-5578 which is in MI where I don't know anyone. Relative answered and took message for me to call back. When I did I got a me,2023-06-15,
+12695869760,+18662760049,callback,mentioned, and claimed a process server failed to reach me (process servers don't call). She said to call attorney Michael Harris 866-276-0049 and gave case#3376228. No attorney with that name has an 866 number,2023-12-08,
+12697682187,+16163610128,callback,mentioned,"nswering they do not say anything then hang up. SOOO pissed at this number because it is sooo annoying. Call the number 616-361-0128 (LUCRE, Inc.) to make the calls hopefully stop for you if you have ",2010-09-16,
+12768661217,+17188661094,callback,mentioned,"il that was left told me to call 2768661217 because I won a prize.,Call actually came from a different number which was 7188661094.",2025-06-11,
+12812612749,+18604314718,callback,mentioned,Drool Got a call this number was listed as secondary on it the original call came in as 860-431-4718 something very suspicious here,2025-08-29,
+12897770202,+18004633339,callback,mentioned, and did receive a package from Germany about a month ago so it sounded legit. The message told me to call them back at 1-800-463-3339. I checked and it is indeed the real FEDEX Canada customer servic,2023-07-19,
+13013060312,+13013060221,callback,mentioned,"c.com/ Jack Harris, Inc. 8855 Annapolis Rd Ste 107 Lanham, MD 20706 Email: Email us today at jackharrisinc@aol.com Fax: (301) 306-0221 Phone: Call us at (301) 577-2666 ______________ BBB: (301) 577-26",2016-11-25,
+13013060312,+13015772667,callback,mentioned,"Email: Email us today at jackharrisinc@aol.com Fax: (301) 306-0221 Phone: Call us at (301) 577-2666 ______________ BBB: (301) 577-2667 Jack Harris, Inc. 8855 Annapolis Road, Suite 107 Lanham, MD 20706",2016-11-25,
+13013060312,+13015772666,callback,mentioned,"apolis Rd Ste 107 Lanham, MD 20706 Email: Email us today at jackharrisinc@aol.com Fax: (301) 306-0221 Phone: Call us at (301) 577-2666 ______________ BBB: (301) 577-2667 Jack Harris, Inc. 8855 Annapol",2016-11-25,
+13026105070,+18772189287,callback,mentioned,ll so can get you setup. It's a simple and fast process. I'll keep your file open for when you call in. So my number is 877-218-9287. If your not interested call back and press 2 to be removed. Thanks,2024-11-19,
+13027870503,+18335883824,callback,mentioned," if you still need it. Your file is almost ready to fund and it's about to expire. Press 2 to connect now or call us at 833-588-3824 to stop updates, press 7.""",2025-10-08,
+13033238693,+18668600293,callback,mentioned,"Xanthippe Received a recorded call from this phone number (Comenity Bank) asking me to call them back at 1-866-860-0293, where you receive another recorded message asking for the last four digits of y",2019-04-12,
+13038277106,+18668231798,callback,mentioned,Andara Saidcollecting a debt called from3038277106. Left a number to call8668231798,2019-11-13,
+13043507010,+17033364137,callback,mentioned,"Annette The original number was 703-336-4137, called  back out curiosity and a call came in immediately from  304-350-7010. No one in government calls back that qui",2016-03-21,
+13049907064,+19493406120,callback,mentioned,"call back at (844) 653-3384. It's the 4th call I have had this month regarding ""back taxes."" Another number they use is 949-340-6120.  First they will ring once and hang up, then leave a voicemail.",2024-06-21,
+13058318255,+13058316416,callback,mentioned,ll from 305-831-8255 answered then TEY hung up. I called it back they answered did not respond. then got call back from 305-831-6416 i answered and they hung up,2025-08-11,
+13073931622,+18882116075,callback,mentioned,"ake arrangements to pay any tax debt older than one year, give us a call to discuss your options. Call telephone number 888-211-6075 or reach me on my direct line at extension 3 by calling the number ",2024-11-11,
+13124603970,+13128934824,callback,mentioned,"er site. They said to be cautious... ""Hello, this is Harrison Harris Limited. We are debt collectors. Please call us at 312-893-4824. Our office is open Monday to Thursday from 08:00 A.m to 07:00 P.m.",2024-08-14,
+13133067629,+18447490990,callback,mentioned,#)  said they were from Doctors office of Carolina Health regarding a medical referral from Anthem to call them back at 844-749-0990 I looked up Carolina Health and that number does not exist for them,2025-11-25,
+13133733000,+13133381243,callback,mentioned,  DIY network sweepstakes. It is very important.  give us a call toll-free at 863-349-8543 you can reach me directly at 313-338-1243 thanks have a great day…” I called back the number and it went to t,2016-11-16,
+13133733000,+13133731680,callback,mentioned,"as Quicken Loans. They did not leave a message, but when I called them back it went to a rep I had talked to previusly. 313-373-1680 reps direct line, 313-373-3000 is there main call line with all the",2012-02-07,
+13133733000,+18633498543,callback,mentioned, calling in regards of your application to  DIY network sweepstakes. It is very important.  give us a call toll-free at 863-349-8543 you can reach me directly at 313-338-1243 thanks have a great day…”,2016-11-16,
+13153016164,+18446720667,callback,mentioned,investigation you may be eligible for relief but will need to initiate the process company please reach me at 84467206678446720667…”,2025-05-02,
+13156749116,+18553960089,callback,mentioned," you’ve been prequalified for a personal loan of $56,000 with a possible payment of $280 per month. You can reach me at 855-396-0089.""",2025-07-06,
+13158613831,+18553960089,callback,mentioned," you’ve been prequalified for a personal loan of $56,000 with a possible payment of $280 per month. You can reach me at 855-396-0089,"" was a message left again but from a new number.",2025-07-06,
+13175521643,+18662943664,callback,mentioned,l from this number and the automated message said it was Franciscan Health.  It said to either call that number back or 866-294-3664.,2018-10-01,
+13178273016,+13412037105,callback,mentioned,37 is between 100 and 300 Got a call from +1 (341) 203-7105 (report filed on that # as well) directing me to call this number to verify my address Quote: “Hello this is Amy. My of,2024-03-14,
+13178273016,+16672630689,callback,mentioned,ation. He hung up. Our credit scores are over 800 and we have no debt so it must be a scam. The number that called was  667-263-0689 but she said to call 317-827-3016.,2024-01-15,
+13203171315,+18333041447,callback,mentioned,"ial Spam"".  Return call gets a familiar answerbot saying nobody is available right now.  This number is associated with 833-304-1447 that is a well known scam number.",2025-06-04,
+13212658469,+18882116170,callback,mentioned,"ake arrangements to pay any tax debt older than one year, give us a call to discuss your options. Call telephone number 888-211-6170 or reach me on my direct line at extension three by calling the num",2024-11-14,
+13232153248,+18883122823,callback,mentioned,"Mista t Rachel from the funding department, who has been calling me for years, still calling. Told to call at 888-312-2823. Sad they can continue scamming folks after all these years.",2025-07-30,
+13312005194,+17604926010,callback,mentioned,"number ""not in service"" or ""invalid number"" on callback. S**C**A**M !! 331-200-5194 (Hanover Park, IL, 19JAN21, 1238h), 760-492-6010 (Encinitas, CA, 19JAN21, 1208h),",2021-01-19,
+13323730285,+13322872360,callback,mentioned,"of the purpose of the call. All calls wanted a call back to Mike Frost at 253-642-8009. Calls came from (332) 345-2648, (332) 287-2360, and (332) 373-0285.",2025-09-11,
+13323730285,+13323452648,callback,mentioned,"h no indication of the purpose of the call. All calls wanted a call back to Mike Frost at 253-642-8009. Calls came from (332) 345-2648, (332) 287-2360, and (332) 373-0285.",2025-09-11,
+13463389569,+18553061573,callback,mentioned, know seems like a really agressive debt collector scheme.  lady said her name was Angela Davis. she gave me the number 1-855-306-1573 and told me to call with a claim #.,2023-01-17,
+13512051548,+19516434390,callback,mentioned,"out having to deliver papers related to a complaint against the relative. It all sounded very official. It said to call 951-643-4390 to talk about the complaint otherwise they'd go to his ""place of em",2026-01-20,
+13602835214,+19045169651,callback,mentioned,"es no messages; and the number on callback is either ""not in service,"" ""invalid number"" or always busy. S**C**A**M** !! 904-516-9651 (Jacksonville, FL, 28JUL21, 1340h), 360-283-5214 (Marysville, WA, 2",2021-07-28,
+13603278047,+18884874594,callback,mentioned," not her real name, has been calling me for years, with the same bs business loans, a true Rip-off SCAM.  Told to call 8888-487-4594",2025-01-14,
+13603561412,+14124993031,callback,mentioned,firm our address and asking if we were planning to move? call back number is different from the viewed incoming number. 412-499-3031 This reeks of scam to me.,2024-10-04,
+13609687963,+17149784770,callback,mentioned,"0 people  how can you press a button to block my number. I asked for the owner of the company's name/number. He gave me 714-978-4770 in CA.     He did let it slip that we ""we"" call the number back to ",2019-08-14,
+13855837456,+18555350702,callback,mentioned, These are the different callback numbers I have gotten from messages left from this number 385-583-7456: (855)535-0621 (855)535-0702 (855)535-0994 (855)535-1110,2025-06-18,
+13855837456,+18555350621,callback,mentioned,ot interested. These are the different callback numbers I have gotten from messages left from this number 385-583-7456: (855)535-0621 (855)535-0702 (855)535-0994 (855)535-1110,2025-06-18,
+13855837456,+18555350994,callback,mentioned, different callback numbers I have gotten from messages left from this number 385-583-7456: (855)535-0621 (855)535-0702 (855)535-0994 (855)535-1110,2025-06-18,
+14023078615,+14023134690,callback,mentioned,r they called back on to leave a voicemail. Scam number 402-307-8615 hung up after I didn't answer and called back with 402 313 4690. One of my buddies said there's a way to number bomb them. It's whe,2023-02-11,
+14024719276,+18777917359,callback,mentioned,"mber, they said my number was chosen for a health survey I told them I will call them back and they give me this number 1-877-791-7359...",2024-01-19,
+14027025040,+18779957652,callback,mentioned,"enter  in Phoenix, AZ but for whatever reason he had a Nebraska area code.  He stated the main number to his center was 877-995-7652.  When I started asking questions about the 'Veteran Service Center",2023-11-21,
+14028049780,+13073878178,callback,mentioned,Jr They called several times in the past and today they called from 307-387-8178 but the called back number is for 4028049780. They had the wrong address on file and they claim that it is recorded and,2024-09-05,
+14032688888,+16137031613,callback,mentioned,CRA She is a [***]. Dont know anything. Its an scam. I gave her lots of **********. [***] contact me on 6137031613,2015-06-08,
+14033510200,+18889449212,callback,mentioned," are saying on the auto answering machine they have set when you call the number, it also says you can contact them at  1 888 944 9212 and they give a mailing address located in Edmonton Alberta. http",2015-03-01,
+14048064811,+18772204805,callback,mentioned,d that this was a VALID call on behalf of the CDC. I also researched the call-back number on the message that was left: 1-877-220-4805. I found it at the CDC link below. I decided to return the call a,2022-12-13,
+14053286807,+14246755419,callback,mentioned,"g with a callback #951-357-0758 (which is Rockwell Legal).  The # for ""Valerie Jiminez"" that showed up on my screen was 424-675-5419. I've been getting this robocall off-and-on for the past 2 plus yea",2024-07-01,
+14053286807,+14055046519,callback,mentioned,e presented For questions or to place a stop action press one to connect to an operator or contact your filing party at 405-504-6519…”,2024-12-04,
+14053286807,+12679421067,callback,mentioned,"K My experience was the exact same as the others posted, but they called from 267-942-1067. Told me to call 405-328-6807. No information about what I'm supposedly being served about.",2024-10-07,
+14055046519,+19182481148,callback,mentioned,"ScammedB4 Same call as described in other posts here. Called from 9182481148. Told to call 4055046519. I’ve noticed with many of these scam calls many use similar numbers, like this one has 3 8s a",2025-02-24,
+14058619199,+18333210038,callback,mentioned,"Maryanne Same exact voicemail. Yesterday had received a call from 833-321-0038, called back and left a voicemail. I assume this return call was due to my call yesterday. Both stating they needed add",2024-05-01,
+14085209013,+14085309013,callback,mentioned,Milton Yee Caller 408-530-9013 is calling me 3-5 times a day often leaving an unclear voice message? I am hesitant to call this number back.,2024-12-13,
+14109651234,+14109667929,callback,mentioned,"al office to file an appeal because they dont have my open case the person did NOT identify who they were,I called back 410-966-7929 the lady answered the phone stating Social Security I said I was re",2013-02-15,
+14162568015,+18002568015,callback,mentioned,annoyed I have been getting several calls from this number. It displays CIBC. I answered it today. It told me to call 18002568015. It was a recording. Said something about winning a trip and wanted to,2017-03-20,
+14164642557,+18446866269,callback,mentioned,"specified my number was claimed by ""KMK Construction Landscape"". And that he could be called back at a different number (844-686-6269 ex. 0858).",2025-03-18,
+14165321890,+16477248724,callback,mentioned,-516-4570.  He said to call him at 416.532.1890 to order the service.  He also said to be removed from the list to call 647.724.8724. I called and told him that it is illegal to use A.D.A.D.'s (Automa,2007-11-25,
+14165321890,+14165164570,callback,mentioned,aller said that his name is Mitch and his company is selling the service of clean-up of computers from the phone number 416-516-4570.  He said to call him at 416.532.1890 to order the service.  He als,2007-11-25,
+14193172083,+18777619923,callback,mentioned,Sb | 7 replies Got a text from this number about a statement deadline asking to call me at a different number 877-761-9923...reporting it,2024-02-21,
+14233435636,+15202401404,callback,mentioned,John Story Left an automated message saying gonna be served.  Wanted me to return call to a different # 520-240-1404,2025-03-24,
+14233540175,+18772380807,callback,mentioned," number 14233540175. The left a vm to give them a call back because it's an important business matter. Then they left a 18772380807 toll free number, but when I call both numbers no picks up, is this ",2015-03-09,
+14234676460,+18665175347,callback,mentioned,h my Visa account number and 3 digit code and to call them at either the telephone number on the back of the card or at 866-517-5347. The funny thing is that they said the call was for John E- (redact,2014-09-25,
+14234676460,+18009505114,callback,mentioned,"f hour.  Caller ID stated CITI and when I called back all I got was a recording stating it was ""Citi"" and I was to call 1-800-950-5114.  The 800 number claimed to be Citicorp and they wanted things li",2015-09-09,
+14234676460,+18008250393,callback,mentioned,us early Palm Sunday morning 2017 from a noisy call center about a charge card no one here applied for and said to call 800-825-0393 with a 4-digit code that didn't work - instead there was a recorded,2017-04-09,
+14234676460,+18775601088,callback,mentioned,"t a weird message on my vm. It sounded electronic, very hard to understand. It claimed it was bestbuy and left a number 877 560 1088. I called both numbers 423 and 877 , both went nowhere. There was a",2015-03-31,
+14238222465,+18665372393,callback,mentioned,JanP4 Automated call from Chattanooga TN. Said they were Aetna  Insurance company and told me to call 866-537-2393. Instead I called Aetna and they confirmed that was their number  in Tennessee. So th,2017-02-28,
+14245006785,+19495431535,callback,mentioned,"Robocall from ""Jonathan Prescott,"" inviting a call back to his tax debt relief firm for the Fresh Start Program, called 949-543-1535, and not in service.",2025-09-09,
+14257323247,+18003987888,callback,mentioned,"ppointment, if you can't make it to your appointment, have the common courtesy to call them at there toll free number , 1-800-398-7888 to cancel or reschedule your appointment so another donor who can",2012-02-07,
+14258809523,+18004562701,callback,mentioned,Ihatepeople it's a a company that sells leads called HBW Leads.   Just call them at 800-456-2701 and get on the do not call list.,2013-09-16,
+14346777027,+18883449662,callback,mentioned,ss for those who have back taxes or are facing collections now is the time to see if you qualify please call us back at 888-344-9662 at your earliest convenience if this message reached you in error p,2025-06-19,
+14346951935,+18335883824,callback,mentioned," if you still need it, your file is almost ready to fund and it's about to expire. Press 2 to connect now or call us at 833-588-3824 to stop updates, press 7.""",2025-10-08,
+14346976797,+14342181740,callback,mentioned,"Rhoda Please see my posts for 434-218-1586 and 434-218-1740. These are all related to the same scammers, using the typical no caller id, no message left numbers. Filed no charge c",2025-06-11,
+14346976797,+14342181586,callback,mentioned,"Rhoda Please see my posts for 434-218-1586 and 434-218-1740. These are all related to the same scammers, using the typical no caller id, no message left numbers. ",2025-06-11,
+14356026288,+14356026822,callback,mentioned,my name and my social security number and this is the final notice. I have until 5:00 p.m. 1/17/2025 to contact them at 435-602-6822 or it will be expedited for processing.,2025-01-10,
+14403530143,+14403533117,callback,mentioned,Courtney I got a call from 440-353-3117 claiming I won a vacation. Said they would call me at 2p before they came over.. Tried calling to cancel and the phone ,2016-04-21,
+14407355100,+14407355115,callback,mentioned,"ffice number we are recieving a call from McCarthy Burgess and Wolf they ask, in a recording that we call them back, at 440-735-5115 with an extension that is 8 digits long. From what I read, it seems",2013-09-12,
+14453150998,+18335883824,callback,mentioned," if you still need it, your file is almost ready to fund and it's about to expire. Press 2 to connect now or call us at 833-588-3824. To stop updates, press 7.""",2025-10-08,
+14582542214,+13802211403,callback,mentioned,le.  Please give us a call back at (380) 221-1403 so we can get this handled for you by end of May.  My number again is (380) 221-1403.  When calling please use code A52525.  If you’d like to opt out ,2025-05-02,
+14692528822,+18882303159,callback,mentioned," of a lawsuit and complaint with the court"". I had some time today, so I called back the number that was left in the VM 888-230-3159. The first thing they asked me for was to verify my social - they w",2026-02-02,
+14699825002,+18883121431,callback,mentioned,"ana the message left by number 469-982-5002 states to call them back at 888-312-1431, continues to say they are from amazon prime and that a charge is being posted to my account for $549 so i must cal",2021-06-22,
+14699825009,+15402610001,callback,mentioned,"ge County, Virginia via text messages.  Within two minutes of the text message I get a phone call from the phone number 5402610001 with basically the same information telling me to call the number abo",2024-01-23,
+14699829999,+13608429999,callback,mentioned,"David Robinson | 1 reply 360-842-9999, as well as several other numbers ending in 9999, call at all hours. And it said we call that number. We only have one ",2024-09-27,
+14722380968,+18886051211,callback,mentioned,re you file or make arrangements to pay any tax debt older than one year. Give us a call to discuss your options.  Call 888-605-1211 or reach me on my direct line at extension three by calling the num,2025-03-11,
+14753787540,+18555350346,callback,mentioned,"ail about a loan I could pay $600 a month or something. Said to call back and ask for underwriting and left this number (855)535-0346. I used to get multiple calls a day from ""Morgan"" and ""Jennifer"". ",2025-05-25,
+14805058859,+12122234004,callback,mentioned,"s as http://www.shleppers.com/ (the moving company), said they were returning an inquiry, and said to call them back at 212-223-4004 (Schleppers company line). Definitely was not GoDaddy, fyi.",2016-07-14,
+15012327817,+18886515830,callback,mentioned,"n my county that she mispronounced, and if I didn't respond , legal action would be taken. I was left a number to call- 888-651-5830, I called it to reach a nondescript voice-mail. It's a scam.",2023-10-18,
+15015855666,+17174837370,callback,mentioned,J Ward Said process server came today. My security cameras showed no one. Called from 717 483 7370 Virginia from PSR but left 501 585 5666 as the number to call back. Scam.,2025-09-08,
+15023011970,+18002816918,callback,mentioned,alled back twice and again hung up on me. I called back the Humana customer service number that I already had which was 800-281-6918 and was told by real and legitimate Humana representative and that ,2019-10-26,
+15027981674,+18445093121,callback,mentioned,"aperwork for funding.  If you’re still moving forward, press 2 now to reach me or the underwriting team.  Or call us at 844-509-3121.  I’ll be here until 6 PM today and back tomorrow at 8 AM.  Again, ",2025-11-11,
+15028247783,+18335883789,callback,mentioned,"Allen Dufort They called about a $68,000 loan that I never applied for and wanted me to call them back at 833-588-3789.",2025-11-20,
+15028249948,+18557684424,callback,mentioned,iny gonads and no morals.  On this call called from a spoofed Kentucky phone number and they asked to call them back at 855-768-4424.,2025-07-23,
+15034333287,+18669659011,callback,mentioned,gram... I've been getting calls from multiple numbers all morning long... they leave this number to call them back at:  866-965-9011,2019-04-26,
+15039463571,+18778783038,callback,mentioned,portlandta Caller ID said phone number was (503) 946-3571 but the message left said to call (877) 878-3038.,2011-04-29,
+15053878807,+18337063153,callback,mentioned,ing off credit cards medical and collection account to activate your phone call us at 833-706-3153 again that number is 833-706-3153 if you want to stop receiving these updates head on over to do not ,2024-07-10,
+15082596867,+18776535492,callback,mentioned, FAKE Coinbase phishing. “ (ⅭΟІΝΒAᏚᎬ) The OTP code for your withdrawal is 736191. If this was not you please call us on +1 (877) 653-5492. Ref CB76022”,2025-04-28,
+15087621993,+18006808554,callback,mentioned,"ed | 1 reply Solar America. Calls at least 4 times a day, claiming that we requested solar info. Says to return call to 1-800-680-8554. Even blocking the number, they can still leave messages. ARRGGG.",2023-10-07,
+15102016920,+19202746720,callback,mentioned,"ing  different numbers.  They say they are a police charity or a fire charity (different times).  The other numbers are 920-274-6720, 607-354-2431, 512-547-6346, 347-899-3568.  Finally told them not t",2025-06-14,
+15102016920,+15125476346,callback,mentioned,"y say they are a police charity or a fire charity (different times).  The other numbers are 920-274-6720, 607-354-2431, 512-547-6346, 347-899-3568.  Finally told them not to call back. I have said ""no",2025-06-14,
+15102016920,+16073542431,callback,mentioned," numbers.  They say they are a police charity or a fire charity (different times).  The other numbers are 920-274-6720, 607-354-2431, 512-547-6346, 347-899-3568.  Finally told them not to call back. I",2025-06-14,
+15109702884,+15109744646,callback,mentioned,Nancy Message from above caller at above number told me to call ASAP 510-974-4646.,2023-06-01,
+15125484538,+15127073102,callback,mentioned,936-4234. I called back the 2nd number and they did not identify the company. I hung up and then I received a call from 512-707-3102. If you look up the first number 512-548-4538 it shows one listing ,2022-08-23,
+15136961920,+18002378611,callback,mentioned,"ble-check and verify that we placed the call to you or your telephone number. You may call us on this toll-free number: 1-800-237-8611."" They gave me another number for the radio department 1-800-638-",2016-10-03,
+15136961920,+18006387091,callback,mentioned,"number. You may call us on this toll-free number: 1-800-237-8611."" They gave me another number for the radio department 1-800-638-7091, who verified that the call was placed by one of their representa",2016-10-03,
+15152061648,+15152007722,callback,mentioned," used as a cover number by a google business scammer ... gives a call back of 619-935-1051 to opt out same scammer used 515-200-7722, 515-209-4083, 515-209-4083 & others in the last month or so",2025-11-11,
