number,type,fan_in,area_code,toll_free,in_corpus,own_complaints,call_type
+18445093132,BRIDGE,1,844,Yes,Yes,1,Scam suspicion
+13022661286,SHADOW,1,302,No,No,0,
+11111111111,SHADOW,1,111,No,No,0,
+16095824370,SHADOW,1,609,No,No,0,
+18665345980,SHADOW,1,866,Yes,No,0,
+18668221798,BRIDGE,1,866,Yes,Yes,23,Debt collector
+18553487061,SHADOW,1,855,Yes,No,0,
+17042808623,SHADOW,1,704,No,No,0,
+19132145228,SHADOW,1,913,No,No,0,
+18446533384,SHADOW,1,844,Yes,No,0,
+12659416147,SHADOW,1,265,No,No,0,
+15513307561,SHADOW,1,551,No,No,0,
+13134141631,SHADOW,1,313,No,No,0,
+14193828489,BRIDGE,1,419,No,Yes,1,Fax
+18884823875,SHADOW,1,888,Yes,No,0,
+15204423300,BRIDGE,1,520,No,Yes,2,Scam suspicion
+18663498543,SHADOW,1,866,Yes,No,0,
+13153029330,SHADOW,1,315,No,No,0,
+13176832713,SHADOW,1,317,No,No,0,
+18449882564,SHADOW,1,844,Yes,No,0,
+18882097087,SHADOW,1,888,Yes,No,0,
+18337466947,SHADOW,1,833,Yes,No,0,
+18558744751,SHADOW,1,855,Yes,No,0,
+18333100166,SHADOW,1,833,Yes,No,0,
+13312223115,SHADOW,1,331,No,No,0,
+12536428009,SHADOW,1,253,No,No,0,
+13322480923,SHADOW,1,332,No,No,0,
+18555412795,SHADOW,1,855,Yes,No,0,
+18773121515,SHADOW,1,877,Yes,No,0,
+19842981473,SHADOW,1,984,No,No,0,
+16613476518,SHADOW,1,661,No,No,0,
+19172108011,SHADOW,1,917,No,No,0,
+18779071820,SHADOW,1,877,Yes,No,0,
+18442315927,SHADOW,1,844,Yes,No,0,
+18444873574,SHADOW,1,844,Yes,No,0,
+18774042932,SHADOW,1,877,Yes,No,0,
+18556630273,SHADOW,1,855,Yes,No,0,
+18335883798,SHADOW,1,833,Yes,No,0,
+12134516575,BRIDGE,1,213,No,Yes,1,Scam suspicion
+18003738622,SHADOW,1,800,Yes,No,0,
+14026095709,SHADOW,1,402,No,No,0,
+19783557278,SHADOW,1,978,No,No,0,
+18889394036,SHADOW,1,888,Yes,No,0,
+18882231034,SHADOW,1,888,Yes,No,0,
+18888053280,SHADOW,1,888,Yes,No,0,
+19513570758,SHADOW,1,951,No,No,0,
+17604872763,SHADOW,1,760,No,No,0,
+12065820578,SHADOW,1,206,No,No,0,
+18003048484,SHADOW,1,800,Yes,No,0,
+18778982655,SHADOW,1,877,Yes,No,0,
+15053731244,SHADOW,1,505,No,No,0,
+18446127080,SHADOW,1,844,Yes,No,0,
+18552062738,SHADOW,1,855,Yes,No,0,
+19495848853,SHADOW,1,949,No,No,0,
+18882910180,SHADOW,1,888,Yes,No,0,
+18666034790,SHADOW,1,866,Yes,No,0,
+18006783228,SHADOW,1,800,Yes,No,0,
+18004726842,SHADOW,1,800,Yes,No,0,
+18774539845,SHADOW,1,877,Yes,No,0,
+13074106071,BRIDGE,1,307,No,Yes,1,Fax
+19172107226,BRIDGE,1,917,No,Yes,2,Scam suspicion
+18773063893,SHADOW,1,877,Yes,No,0,
+18774771442,SHADOW,1,877,Yes,No,0,
+18777741442,SHADOW,1,877,Yes,No,0,
+18557083581,SHADOW,1,855,Yes,No,0,
+18447089388,SHADOW,1,844,Yes,No,0,
+18006695115,SHADOW,1,800,Yes,No,0,
+18008250393,SHADOW,1,800,Yes,No,0,
+18772380807,SHADOW,1,877,Yes,No,0,
+12069324777,SHADOW,1,206,No,No,0,
+18665081230,SHADOW,1,866,Yes,No,0,
+14343229679,BRIDGE,1,434,No,Yes,2,Scam suspicion
+14407355115,SHADOW,1,440,No,No,0,
+18773103884,BRIDGE,1,877,Yes,Yes,1,Scam suspicion
+18889193313,SHADOW,1,888,Yes,No,0,
+18666862504,SHADOW,1,866,Yes,No,0,
+18559023115,SHADOW,1,855,Yes,No,0,
+18777553665,SHADOW,1,877,Yes,No,0,
+14699835000,SHADOW,1,469,No,No,0,
+16197048537,BRIDGE,1,619,No,Yes,8,Scam suspicion
+18334635526,SHADOW,1,833,Yes,No,0,
+19497032249,BRIDGE,1,949,No,Yes,1,Scam suspicion
+18559090822,BRIDGE,1,855,Yes,Yes,5,Telemarketer
+16469951811,BRIDGE,1,646,No,Yes,1,Scam suspicion
+18667067457,SHADOW,1,866,Yes,No,0,
+18164351000,BRIDGE,1,816,No,Yes,0,Unknown
+18333843154,SHADOW,1,833,Yes,No,0,
+15059232788,SHADOW,1,505,No,No,0,
+18552241494,SHADOW,1,855,Yes,No,0,
+18888501518,SHADOW,1,888,Yes,No,0,
+18883489587,SHADOW,1,888,Yes,No,0,
+15065014518,SHADOW,1,506,No,No,0,
+18337504073,SHADOW,1,833,Yes,No,0,
+18777504073,SHADOW,1,877,Yes,No,0,
+18862366022,SHADOW,1,886,No,No,0,
+15109701533,SHADOW,1,510,No,No,0,
+15109702818,SHADOW,1,510,No,No,0,
+18334301570,SHADOW,1,833,Yes,No,0,
+13478993568,SHADOW,1,347,No,No,0,
+15129364234,SHADOW,1,512,No,No,0,
+18886491959,SHADOW,1,888,Yes,No,0,
+18772557571,SHADOW,1,877,Yes,No,0,
+18772557551,SHADOW,1,877,Yes,No,0,
+16155781641,SHADOW,1,615,No,No,0,
+12893710288,SHADOW,1,289,No,No,0,
+18889994952,SHADOW,1,888,Yes,No,0,
+18662502144,SHADOW,1,866,Yes,No,0,
+18554246398,SHADOW,1,855,Yes,No,0,
+18664438007,SHADOW,1,866,Yes,No,0,
+18886288212,SHADOW,1,888,Yes,No,0,
+18452125149,SHADOW,1,845,No,No,0,
+15173731837,SHADOW,1,517,No,No,0,
+18668610005,SHADOW,1,866,Yes,No,0,
+18885315541,SHADOW,1,888,Yes,No,0,
+15184850384,SHADOW,1,518,No,No,0,
+18445093316,BRIDGE,1,844,Yes,Yes,1,Scam suspicion
+18559090805,SHADOW,1,855,Yes,No,0,
+15183086447,SHADOW,1,518,No,No,0,
+18335883780,SHADOW,1,833,Yes,No,0,
+18334872177,SHADOW,1,833,Yes,No,0,
+18664507776,SHADOW,1,866,Yes,No,0,
+18664505552,SHADOW,1,866,Yes,No,0,
+18772011769,SHADOW,1,877,Yes,No,0,
+13143388838,BRIDGE,1,314,No,Yes,1,Scam suspicion
+18669066379,BRIDGE,1,866,Yes,Yes,5,Scam suspicion
+18774857940,SHADOW,1,877,Yes,No,0,
+18887964326,SHADOW,1,888,Yes,No,0,
+18007757802,SHADOW,1,800,Yes,No,0,
+19104440276,SHADOW,1,910,No,No,0,
+18886723240,SHADOW,1,888,Yes,No,0,
+17712227296,SHADOW,1,771,No,No,0,
+14097617631,BRIDGE,1,409,No,Yes,43,Scam suspicion
+14172383512,SHADOW,1,417,No,No,0,
+18006536669,SHADOW,1,800,Yes,No,0,
+18002109011,BRIDGE,1,800,Yes,Yes,162,Telemarketer
+19093122137,SHADOW,1,909,No,No,0,
+18883548900,SHADOW,1,888,Yes,No,0,
+18555351117,SHADOW,1,855,Yes,No,0,
+16025420000,SHADOW,1,602,No,No,0,
+16022553381,SHADOW,1,602,No,No,0,
+18005445315,BRIDGE,1,800,Yes,Yes,9,Telemarketer
+16038651743,SHADOW,1,603,No,No,0,
+18779021000,SHADOW,1,877,Yes,No,0,
+18779020006,SHADOW,1,877,Yes,No,0,
+18885938772,SHADOW,1,888,Yes,No,0,
+16045460311,SHADOW,1,604,No,No,0,
+18009104222,SHADOW,1,800,Yes,No,0,
+16074178548,SHADOW,1,607,No,No,0,
+19132145281,SHADOW,1,913,No,No,0,
+17042808612,SHADOW,1,704,No,No,0,
+12062602004,SHADOW,1,206,No,No,0,
+18006424168,SHADOW,1,800,Yes,No,0,
+18777942039,SHADOW,1,877,Yes,No,0,
+16147158419,SHADOW,1,614,No,No,0,
+18558756315,SHADOW,1,855,Yes,No,0,
+18003477599,SHADOW,1,800,Yes,No,0,
+18558932347,SHADOW,1,855,Yes,No,0,
+17313129133,SHADOW,1,731,No,No,0,
+17073093744,SHADOW,1,707,No,No,0,
+18442379977,SHADOW,1,844,Yes,No,0,
+18442441223,SHADOW,1,844,Yes,No,0,
+18002335325,SHADOW,1,800,Yes,No,0,
+18162811327,SHADOW,1,816,No,No,0,
+15165453534,SHADOW,1,516,No,No,0,
+18134457661,SHADOW,1,813,No,No,0,
+18005504817,SHADOW,1,800,Yes,No,0,
+19517036544,BRIDGE,1,951,No,Yes,2,Scam suspicion
+18888052462,SHADOW,1,888,Yes,No,0,
+13044136995,SHADOW,1,304,No,No,0,
+18883894777,BRIDGE,1,888,Yes,Yes,1,Scam suspicion
+18888192135,SHADOW,1,888,Yes,No,0,
+12133937582,SHADOW,1,213,No,No,0,
+18888488875,SHADOW,1,888,Yes,No,0,
+15186099679,BRIDGE,1,518,No,Yes,1,Scam suspicion
+13156459216,BRIDGE,1,315,No,Yes,1,Scam suspicion
+16313924394,SHADOW,1,631,No,No,0,
+18008270869,BRIDGE,1,800,Yes,Yes,41,Telemarketer
+16314860607,SHADOW,1,631,No,No,0,
+12126666666,SHADOW,1,212,No,No,0,
+18559263313,SHADOW,1,855,Yes,No,0,
+18445093160,BRIDGE,1,844,Yes,Yes,1,Scam suspicion
+17087604739,SHADOW,1,708,No,No,0,
+15027963677,SHADOW,1,502,No,No,0,
+18669590922,SHADOW,1,866,Yes,No,0,
+18559090850,BRIDGE,1,855,Yes,Yes,1,Scam suspicion
+14844736477,BRIDGE,1,484,No,Yes,1,Scam suspicion
+16043520537,SHADOW,1,604,No,No,0,
+16477385616,SHADOW,1,647,No,No,0,
+16473704629,SHADOW,1,647,No,No,0,
+18445997871,BRIDGE,1,844,Yes,Yes,10,Scam suspicion
+18445997879,SHADOW,1,844,Yes,No,0,
+19525620902,BRIDGE,1,952,No,Yes,2,Silent call
+16513838280,BRIDGE,1,651,No,Yes,15,Debt collector
+18444914763,SHADOW,1,844,Yes,No,0,
+18147312132,BRIDGE,1,814,No,Yes,1,Scam suspicion
+12512406660,BRIDGE,1,251,No,Yes,16,Scam suspicion
+18887214623,SHADOW,1,888,Yes,No,0,
+18337279449,SHADOW,1,833,Yes,No,0,
+18449865454,BRIDGE,1,844,Yes,Yes,14,Scam suspicion
+15054059211,SHADOW,1,505,No,No,0,
+18665923689,BRIDGE,1,866,Yes,Yes,1,Scam suspicion
+18333382930,SHADOW,1,833,Yes,No,0,
+17037221817,SHADOW,1,703,No,No,0,
+13043976577,SHADOW,1,304,No,No,0,
+18559266692,BRIDGE,1,855,Yes,Yes,12,Scam suspicion
+18337955753,BRIDGE,1,833,Yes,Yes,56,Scam suspicion
+18884090446,BRIDGE,1,888,Yes,Yes,2,Scam suspicion
+18888034995,SHADOW,1,888,Yes,No,0,
+15806344939,SHADOW,1,580,No,No,0,
+12489065609,BRIDGE,1,248,No,Yes,3,Fax
+18772665563,SHADOW,1,877,Yes,No,0,
+18052253720,SHADOW,1,805,No,No,0,
+18662684923,SHADOW,1,866,Yes,No,0,
+18449597731,SHADOW,1,844,Yes,No,0,
+18886117576,SHADOW,1,888,Yes,No,0,
+14582036802,SHADOW,1,458,No,No,0,
+18778405011,SHADOW,1,877,Yes,No,0,
+18444879402,SHADOW,1,844,Yes,No,0,
+18332514293,SHADOW,1,833,Yes,No,0,
+18334872508,BRIDGE,1,833,Yes,Yes,2,Scam suspicion
+19543583717,SHADOW,1,954,No,No,0,
+18447387904,SHADOW,1,844,Yes,No,0,
+18337413478,SHADOW,1,833,Yes,No,0,
+18883524992,SHADOW,1,888,Yes,No,0,
+18662262306,SHADOW,1,866,Yes,No,0,
+18142987779,SHADOW,1,814,No,No,0,
+18447097497,SHADOW,1,844,Yes,No,0,
+18337278588,SHADOW,1,833,Yes,No,0,
+15415902175,SHADOW,1,541,No,No,0,
+17274569930,SHADOW,1,727,No,No,0,
+12077701444,SHADOW,1,207,No,No,0,
+18449510881,SHADOW,1,844,Yes,No,0,
+18883386960,SHADOW,1,888,Yes,No,0,
+12164785118,SHADOW,1,216,No,No,0,
+18334213830,SHADOW,1,833,Yes,No,0,
+19093878303,SHADOW,1,909,No,No,0,
+18775581613,BRIDGE,1,877,Yes,Yes,0,Unknown
+18888668295,SHADOW,1,888,Yes,No,0,
+18667837489,SHADOW,1,866,Yes,No,0,
+18006383120,SHADOW,1,800,Yes,No,0,
+19529488254,SHADOW,1,952,No,No,0,
+18003791050,BRIDGE,1,800,Yes,Yes,13,Scam suspicion
+18775041186,SHADOW,1,877,Yes,No,0,
+18558287716,SHADOW,1,855,Yes,No,0,
+18558287718,SHADOW,1,855,Yes,No,0,
+18663075091,SHADOW,1,866,Yes,No,0,
+19203201992,SHADOW,1,920,No,No,0,
+18336962192,SHADOW,1,833,Yes,No,0,
+13105659550,SHADOW,1,310,No,No,0,
+18586876162,SHADOW,1,858,No,No,0,
+12408171562,SHADOW,1,240,No,No,0,
+18335401145,SHADOW,1,833,Yes,No,0,
+18668436450,SHADOW,1,866,Yes,No,0,
+18449894916,BRIDGE,1,844,Yes,Yes,1,Scam suspicion
+18772890054,BRIDGE,1,877,Yes,Yes,1,Scam suspicion
+18447164614,SHADOW,1,844,Yes,No,0,
+18006077226,SHADOW,1,800,Yes,No,0,
+18008062324,SHADOW,1,800,Yes,No,0,
+17204563773,SHADOW,1,720,No,No,0,
+18007721213,SHADOW,1,800,Yes,No,0,
+18038914169,SHADOW,1,803,No,No,0,
+14845507918,SHADOW,1,484,No,No,0,
+18562086108,SHADOW,1,856,No,No,0,
+18002667073,SHADOW,1,800,Yes,No,0,
+17752066038,SHADOW,1,775,No,No,0,
+17408344000,SHADOW,1,740,No,No,0,
+16038646488,BRIDGE,1,603,No,Yes,43,Valid
+18664837200,SHADOW,1,866,Yes,No,0,
+15153245068,SHADOW,1,515,No,No,0,
+18667070485,SHADOW,1,866,Yes,No,0,
+18007297123,SHADOW,1,800,Yes,No,0,
+18003472683,SHADOW,1,800,Yes,No,0,
+18884199444,SHADOW,1,888,Yes,No,0,
+18448570333,SHADOW,1,844,Yes,No,0,
+18009985294,SHADOW,1,800,Yes,No,0,
+18552140961,SHADOW,1,855,Yes,No,0,
+18448868566,SHADOW,1,844,Yes,No,0,
+18662745745,SHADOW,1,866,Yes,No,0,
+18884474706,SHADOW,1,888,Yes,No,0,
+12092760529,SHADOW,1,209,No,No,0,
+13602030997,SHADOW,1,360,No,No,0,
+15187301561,SHADOW,1,518,No,No,0,
+15187501561,SHADOW,1,518,No,No,0,
+12082620000,SHADOW,1,208,No,No,0,
+16692215979,SHADOW,1,669,No,No,0,
+15163441156,SHADOW,1,516,No,No,0,
+15163441456,SHADOW,1,516,No,No,0,
+14077955065,SHADOW,1,407,No,No,0,
+17195342117,SHADOW,1,719,No,No,0,
+18888617707,SHADOW,1,888,Yes,No,0,
+14372922437,SHADOW,1,437,No,No,0,
+18445411117,BRIDGE,1,844,Yes,Yes,4,Scam suspicion
+18005509954,SHADOW,1,800,Yes,No,0,
+18016180614,SHADOW,1,801,No,No,0,
+14153376652,SHADOW,1,415,No,No,0,
+18018996462,SHADOW,1,801,No,No,0,
+18083516917,BRIDGE,1,808,No,Yes,2,Scam suspicion
+18888009030,BRIDGE,1,888,Yes,Yes,29,Debt collector
+18005964047,SHADOW,1,800,Yes,No,0,
+19705786120,SHADOW,1,970,No,No,0,
+18664494530,SHADOW,1,866,Yes,No,0,
+13474785055,SHADOW,1,347,No,No,0,
+12084818530,SHADOW,1,208,No,No,0,
+13363870483,SHADOW,1,336,No,No,0,
+18662635115,SHADOW,1,866,Yes,No,0,
+18002851431,SHADOW,1,800,Yes,No,0,
+18063404897,SHADOW,1,806,No,No,0,
+18776878957,SHADOW,1,877,Yes,No,0,
+18592224308,SHADOW,1,859,No,No,0,
+18032107352,BRIDGE,1,803,No,Yes,1,Scam suspicion
+19173741864,SHADOW,1,917,No,No,0,
+18136997002,SHADOW,1,813,No,No,0,
+18882192749,BRIDGE,1,888,Yes,Yes,14,Scam suspicion
+12136191531,SHADOW,1,213,No,No,0,
+16196589713,SHADOW,1,619,No,No,0,
+18169364441,SHADOW,1,816,No,No,0,
+18169364440,SHADOW,1,816,No,No,0,
+18777724309,SHADOW,1,877,Yes,No,0,
+16057777181,SHADOW,1,605,No,No,0,
+18883554400,SHADOW,1,888,Yes,No,0,
+17205973359,SHADOW,1,720,No,No,0,
+18335397502,SHADOW,1,833,Yes,No,0,
+18666806172,SHADOW,1,866,Yes,No,0,
+18445872035,SHADOW,1,844,Yes,No,0,
+18322373752,SHADOW,1,832,No,No,0,
+14707880548,SHADOW,1,470,No,No,0,
+14709179311,SHADOW,1,470,No,No,0,
+13363556346,SHADOW,1,336,No,No,0,
+18706194043,SHADOW,1,870,No,No,0,
+13605290029,SHADOW,1,360,No,No,0,
+18337955783,SHADOW,1,833,Yes,No,0,
+18337642704,BRIDGE,1,833,Yes,Yes,2,Scam suspicion
+18338832793,SHADOW,1,833,Yes,No,0,
+18338832930,SHADOW,1,833,Yes,No,0,
+18669590960,BRIDGE,1,866,Yes,Yes,7,Scam suspicion
+19172107680,BRIDGE,1,917,No,Yes,3,Scam suspicion
+12342063674,SHADOW,1,234,No,No,0,
+18338943201,SHADOW,1,833,Yes,No,0,
+16452051576,SHADOW,1,645,No,No,0,
+18555072098,SHADOW,1,855,Yes,No,0,
+18555070298,BRIDGE,1,855,Yes,Yes,30,Scam suspicion
+18555072298,SHADOW,1,855,Yes,No,0,
+18334530406,BRIDGE,1,833,Yes,Yes,1,Debt collector
+18004633339,SHADOW,1,800,Yes,No,0,
+18333491734,SHADOW,1,833,Yes,No,0,
+19785526428,SHADOW,1,978,No,No,0,
+19496257221,SHADOW,1,949,No,No,0,
+18665206743,SHADOW,1,866,Yes,No,0,
+18883229570,SHADOW,1,888,Yes,No,0,
+18432846980,SHADOW,1,843,No,No,0,
+18432788386,SHADOW,1,843,No,No,0,
+18283581591,SHADOW,1,828,No,No,0,
+13023948293,SHADOW,1,302,No,No,0,
+18457230844,SHADOW,1,845,No,No,0,
+18337300756,SHADOW,1,833,Yes,No,0,
+18559090937,BRIDGE,1,855,Yes,Yes,0,Unknown
+15635210326,SHADOW,1,563,No,No,0,
+18444250188,SHADOW,1,844,Yes,No,0,
+16026101306,SHADOW,1,602,No,No,0,
+16026101308,SHADOW,1,602,No,No,0,
+18888869643,SHADOW,1,888,Yes,No,0,
+15188195467,BRIDGE,1,518,No,Yes,2,Scam suspicion
+12676526536,BRIDGE,1,267,No,Yes,2,Scam suspicion
+15207020644,BRIDGE,1,520,No,Yes,1,Unknown
+16412722048,BRIDGE,1,641,No,Yes,2,Scam suspicion
+12679542897,BRIDGE,1,267,No,Yes,24,Scam suspicion
+18446075102,SHADOW,1,844,Yes,No,0,
+12624645935,BRIDGE,1,262,No,Yes,1,Scam suspicion
+14037220324,SHADOW,1,403,No,No,0,
+13096226569,SHADOW,1,309,No,No,0,
+18669591925,SHADOW,1,866,Yes,No,0,
+18886267173,SHADOW,1,888,Yes,No,0,
+13852571518,BRIDGE,1,385,No,Yes,1,Scam suspicion
+18446120601,SHADOW,1,844,Yes,No,0,
+18334698991,SHADOW,1,833,Yes,No,0,
+13479149353,BRIDGE,1,347,No,Yes,1,Scam suspicion
+18453623174,SHADOW,1,845,No,No,0,
+18009220204,SHADOW,1,800,Yes,No,0,
+18006132115,SHADOW,1,800,Yes,No,0,
+18444812065,SHADOW,1,844,Yes,No,0,
+18669591033,BRIDGE,1,866,Yes,Yes,2,Scam suspicion
+18559052577,BRIDGE,1,855,Yes,Yes,4,Debt collector
+18554927142,SHADOW,1,855,Yes,No,0,
+18333660127,BRIDGE,1,833,Yes,Yes,33,Scam suspicion
+18553689643,SHADOW,1,855,Yes,No,0,
+18166522509,SHADOW,1,816,No,No,0,
+18339087524,BRIDGE,1,833,Yes,Yes,8,Scam suspicion
+18007764737,SHADOW,1,800,Yes,No,0,
+12678771536,BRIDGE,1,267,No,Yes,2,Scam suspicion
+18553346744,SHADOW,1,855,Yes,No,0,
+17712226422,BRIDGE,1,771,No,Yes,1,Scam suspicion
+16208288232,BRIDGE,1,620,No,Yes,1,Scam suspicion
+14699147211,SHADOW,1,469,No,No,0,
+18555151296,SHADOW,1,855,Yes,No,0,
+14244443085,SHADOW,1,424,No,No,0,
+18888434492,BRIDGE,1,888,Yes,Yes,14,Scam suspicion
+15028246816,SHADOW,1,502,No,No,0,
+19736298223,BRIDGE,1,973,No,Yes,1,Scam suspicion
+18887040660,SHADOW,1,888,Yes,No,0,
+18443911092,SHADOW,1,844,Yes,No,0,
+18778211658,SHADOW,1,877,Yes,No,0,
+19162598052,SHADOW,1,916,No,No,0,
+18555351206,SHADOW,1,855,Yes,No,0,
+19209740916,SHADOW,1,920,No,No,0,
+17084642673,SHADOW,1,708,No,No,0,
+16198250687,SHADOW,1,619,No,No,0,
+12363302287,SHADOW,1,236,No,No,0,
+17097275894,SHADOW,1,709,No,No,0,
+18662214062,SHADOW,1,866,Yes,No,0,
+18007977675,SHADOW,1,800,Yes,No,0,
+18669376802,SHADOW,1,866,Yes,No,0,
+18884258636,BRIDGE,1,888,Yes,Yes,1,Scam suspicion
+18602616618,SHADOW,1,860,No,No,0,
+18559766456,SHADOW,1,855,Yes,No,0,
+18442662462,SHADOW,1,844,Yes,No,0,
+18558732369,BRIDGE,1,855,Yes,Yes,0,Unknown
+18664372514,SHADOW,1,866,Yes,No,0,
+18009875521,SHADOW,1,800,Yes,No,0,
+13127413876,SHADOW,1,312,No,No,0,
+17176816151,SHADOW,1,717,No,No,0,
+14154983895,SHADOW,1,415,No,No,0,
+18666601597,SHADOW,1,866,Yes,No,0,
+18667450065,BRIDGE,1,866,Yes,Yes,1,Scam suspicion
+15408220685,SHADOW,1,540,No,No,0,
+18665351189,SHADOW,1,866,Yes,No,0,
+18885321189,BRIDGE,1,888,Yes,Yes,1,Scam suspicion
+18664544339,SHADOW,1,866,Yes,No,0,
+17609255676,SHADOW,1,760,No,No,0,
+18006698488,BRIDGE,1,800,Yes,Yes,247,Scam suspicion
+18883715386,SHADOW,1,888,Yes,No,0,
+18665960081,SHADOW,1,866,Yes,No,0,
+16198585218,SHADOW,1,619,No,No,0,
+19142020845,SHADOW,1,914,No,No,0,
+15095538490,SHADOW,1,509,No,No,0,
+18765422584,SHADOW,1,876,No,No,0,
+17024475050,SHADOW,1,702,No,No,0,
